"Step","stateleaky-1e-4 - eval_bit_acc","stateleaky-1e-4 - eval_bit_acc__MIN","stateleaky-1e-4 - eval_bit_acc__MAX","stateleaky-5e-4 - eval_bit_acc","stateleaky-5e-4 - eval_bit_acc__MIN","stateleaky-5e-4 - eval_bit_acc__MAX","stateleaky-3e-4 - eval_bit_acc","stateleaky-3e-4 - eval_bit_acc__MIN","stateleaky-3e-4 - eval_bit_acc__MAX","gen2-assoc-eval-5e-4 - eval_bit_acc","gen2-assoc-eval-5e-4 - eval_bit_acc__MIN","gen2-assoc-eval-5e-4 - eval_bit_acc__MAX","gen2-assoc-eval-3e-4 - eval_bit_acc","gen2-assoc-eval-3e-4 - eval_bit_acc__MIN","gen2-assoc-eval-3e-4 - eval_bit_acc__MAX","gen2-assoc-eval-1e-4 - eval_bit_acc","gen2-assoc-eval-1e-4 - eval_bit_acc__MIN","gen2-assoc-eval-1e-4 - eval_bit_acc__MAX"
"285","0.624296875","0.624296875","0.624296875","0.62140625","0.62140625","0.62140625","0.62515625","0.62515625","0.62515625","0.6725","0.6725","0.6725","0.83078125","0.83078125","0.83078125","0.79203125","0.79203125","0.79203125"
"296","0.626796875","0.626796875","0.626796875","0.616796875","0.616796875","0.616796875","0.624140625","0.624140625","0.624140625","0.676875","0.676875","0.676875","0.8346875","0.8346875","0.8346875","0.796640625","0.796640625","0.796640625"
"307","0.62421875","0.62421875","0.62421875","0.62125","0.62125","0.62125","0.62265625","0.62265625","0.62265625","0.675625","0.675625","0.675625","0.83359375","0.83359375","0.83359375","0.795859375","0.795859375","0.795859375"
"318","0.625","0.625","0.625","0.6234375","0.6234375","0.6234375","0.62234375","0.62234375","0.62234375","0.675546875","0.675546875","0.675546875","0.836640625","0.836640625","0.836640625","0.79359375","0.79359375","0.79359375"
"329","0.623203125","0.623203125","0.623203125","0.625078125","0.625078125","0.625078125","0.622421875","0.622421875","0.622421875","0.673984375","0.673984375","0.673984375","0.83890625","0.83890625","0.83890625","0.801796875","0.801796875","0.801796875"
"340","0.62234375","0.62234375","0.62234375","0.620234375","0.620234375","0.620234375","0.621484375","0.621484375","0.621484375","0.680078125","0.680078125","0.680078125","0.843046875","0.843046875","0.843046875","0.805703125","0.805703125","0.805703125"
"351","0.6196875","0.6196875","0.6196875","0.622265625","0.622265625","0.622265625","0.620546875","0.620546875","0.620546875","0.67453125","0.67453125","0.67453125","0.85171875","0.85171875","0.85171875","0.80734375","0.80734375","0.80734375"
"362","0.624765625","0.624765625","0.624765625","0.620390625","0.620390625","0.620390625","0.620546875","0.620546875","0.620546875","0.684453125","0.684453125","0.684453125","0.8484375","0.8484375","0.8484375","0.809609375","0.809609375","0.809609375"
"373","0.621796875","0.621796875","0.621796875","0.62390625","0.62390625","0.62390625","0.622890625","0.622890625","0.622890625","0.68765625","0.68765625","0.68765625","0.854453125","0.854453125","0.854453125","0.808046875","0.808046875","0.808046875"
"384","0.62484375","0.62484375","0.62484375","0.620625","0.620625","0.620625","0.62390625","0.62390625","0.62390625","0.683984375","0.683984375","0.683984375","0.8571875","0.8571875","0.8571875","0.813515625","0.813515625","0.813515625"
"395","0.625078125","0.625078125","0.625078125","0.6246875","0.6246875","0.6246875","0.623046875","0.623046875","0.623046875","0.68109375","0.68109375","0.68109375","0.858671875","0.858671875","0.858671875","0.819453125","0.819453125","0.819453125"
"406","0.621171875","0.621171875","0.621171875","0.623203125","0.623203125","0.623203125","0.619296875","0.619296875","0.619296875","0.691796875","0.691796875","0.691796875","0.8603125","0.8603125","0.8603125","0.817890625","0.817890625","0.817890625"
"417","0.62421875","0.62421875","0.62421875","0.624375","0.624375","0.624375","0.621015625","0.621015625","0.621015625","0.692265625","0.692265625","0.692265625","0.86640625","0.86640625","0.86640625","0.8171875","0.8171875","0.8171875"
"428","0.6221875","0.6221875","0.6221875","0.622734375","0.622734375","0.622734375","0.619453125","0.619453125","0.619453125","0.693203125","0.693203125","0.693203125","0.863359375","0.863359375","0.863359375","0.82","0.82","0.82"
"439","0.62125","0.62125","0.62125","0.62125","0.62125","0.62125","0.623515625","0.623515625","0.623515625","0.70421875","0.70421875","0.70421875","0.865703125","0.865703125","0.865703125","0.82546875","0.82546875","0.82546875"
"450","0.621953125","0.621953125","0.621953125","0.621796875","0.621796875","0.621796875","0.619140625","0.619140625","0.619140625","0.69953125","0.69953125","0.69953125","0.861796875","0.861796875","0.861796875","0.82453125","0.82453125","0.82453125"
"461","0.6225","0.6225","0.6225","0.615546875","0.615546875","0.615546875","0.62109375","0.62109375","0.62109375","0.705703125","0.705703125","0.705703125","0.863515625","0.863515625","0.863515625","0.82578125","0.82578125","0.82578125"
"472","0.620859375","0.620859375","0.620859375","0.62015625","0.62015625","0.62015625","0.618125","0.618125","0.618125","0.702890625","0.702890625","0.702890625","0.86625","0.86625","0.86625","0.829140625","0.829140625","0.829140625"
"483","0.62","0.62","0.62","0.622109375","0.622109375","0.622109375","0.621015625","0.621015625","0.621015625","0.703359375","0.703359375","0.703359375","0.861953125","0.861953125","0.861953125","0.83078125","0.83078125","0.83078125"
"494","0.618359375","0.618359375","0.618359375","0.620234375","0.620234375","0.620234375","0.622265625","0.622265625","0.622265625","0.703046875","0.703046875","0.703046875","0.872109375","0.872109375","0.872109375","0.837265625","0.837265625","0.837265625"
"505","0.624609375","0.624609375","0.624609375","0.619921875","0.619921875","0.619921875","0.6246875","0.6246875","0.6246875","0.715546875","0.715546875","0.715546875","0.87046875","0.87046875","0.87046875","0.834296875","0.834296875","0.834296875"
"516","0.619765625","0.619765625","0.619765625","0.6159375","0.6159375","0.6159375","0.62328125","0.62328125","0.62328125","0.714140625","0.714140625","0.714140625","0.874140625","0.874140625","0.874140625","0.834375","0.834375","0.834375"
"527","0.621796875","0.621796875","0.621796875","0.62109375","0.62109375","0.62109375","0.618984375","0.618984375","0.618984375","0.718984375","0.718984375","0.718984375","0.871875","0.871875","0.871875","0.83578125","0.83578125","0.83578125"
"538","0.621171875","0.621171875","0.621171875","0.626953125","0.626953125","0.626953125","0.62015625","0.62015625","0.62015625","0.719296875","0.719296875","0.719296875","0.88390625","0.88390625","0.88390625","0.8359375","0.8359375","0.8359375"
"549","0.62234375","0.62234375","0.62234375","0.62203125","0.62203125","0.62203125","0.624609375","0.624609375","0.624609375","0.70890625","0.70890625","0.70890625","0.886875","0.886875","0.886875","0.833203125","0.833203125","0.833203125"
"560","0.620859375","0.620859375","0.620859375","0.625","0.625","0.625","0.62375","0.62375","0.62375","0.725390625","0.725390625","0.725390625","0.891015625","0.891015625","0.891015625","0.833828125","0.833828125","0.833828125"
"571","0.6203125","0.6203125","0.6203125","0.626640625","0.626640625","0.626640625","0.618671875","0.618671875","0.618671875","0.726875","0.726875","0.726875","0.886875","0.886875","0.886875","0.8290625","0.8290625","0.8290625"
"582","0.623359375","0.623359375","0.623359375","0.616484375","0.616484375","0.616484375","0.624453125","0.624453125","0.624453125","0.6790625","0.6790625","0.6790625","0.886953125","0.886953125","0.886953125","0.83984375","0.83984375","0.83984375"
"593","0.62328125","0.62328125","0.62328125","0.624375","0.624375","0.624375","0.623671875","0.623671875","0.623671875","0.724453125","0.724453125","0.724453125","0.88453125","0.88453125","0.88453125","0.838125","0.838125","0.838125"
"604","0.621640625","0.621640625","0.621640625","0.62484375","0.62484375","0.62484375","0.626171875","0.626171875","0.626171875","0.7309375","0.7309375","0.7309375","0.888671875","0.888671875","0.888671875","0.848671875","0.848671875","0.848671875"
"615","0.6259375","0.6259375","0.6259375","0.622265625","0.622265625","0.622265625","0.622890625","0.622890625","0.622890625","0.7240625","0.7240625","0.7240625","0.88671875","0.88671875","0.88671875","0.8446875","0.8446875","0.8446875"
"626","0.619921875","0.619921875","0.619921875","0.620390625","0.620390625","0.620390625","0.619140625","0.619140625","0.619140625","0.731796875","0.731796875","0.731796875","0.884296875","0.884296875","0.884296875","0.8490625","0.8490625","0.8490625"
"637","0.620546875","0.620546875","0.620546875","0.623828125","0.623828125","0.623828125","0.621796875","0.621796875","0.621796875","0.728515625","0.728515625","0.728515625","0.889296875","0.889296875","0.889296875","0.834453125","0.834453125","0.834453125"
"648","0.6215625","0.6215625","0.6215625","0.62296875","0.62296875","0.62296875","0.62234375","0.62234375","0.62234375","0.720859375","0.720859375","0.720859375","0.887109375","0.887109375","0.887109375","0.83953125","0.83953125","0.83953125"
"659","0.624609375","0.624609375","0.624609375","0.6228125","0.6228125","0.6228125","0.62234375","0.62234375","0.62234375","0.69015625","0.69015625","0.69015625","0.885078125","0.885078125","0.885078125","0.84921875","0.84921875","0.84921875"
"670","0.624296875","0.624296875","0.624296875","0.619296875","0.619296875","0.619296875","0.62265625","0.62265625","0.62265625","0.727890625","0.727890625","0.727890625","0.888046875","0.888046875","0.888046875","0.859296875","0.859296875","0.859296875"
"681","0.622578125","0.622578125","0.622578125","0.62328125","0.62328125","0.62328125","0.61921875","0.61921875","0.61921875","0.73234375","0.73234375","0.73234375","0.885","0.885","0.885","0.856953125","0.856953125","0.856953125"
"692","0.622421875","0.622421875","0.622421875","0.623515625","0.623515625","0.623515625","0.620390625","0.620390625","0.620390625","0.732890625","0.732890625","0.732890625","0.88453125","0.88453125","0.88453125","0.8565625","0.8565625","0.8565625"
"703","0.62265625","0.62265625","0.62265625","0.621015625","0.621015625","0.621015625","0.620625","0.620625","0.620625","0.720078125","0.720078125","0.720078125","0.892421875","0.892421875","0.892421875","0.85578125","0.85578125","0.85578125"
"714","0.62140625","0.62140625","0.62140625","0.62125","0.62125","0.62125","0.62046875","0.62046875","0.62046875","0.735390625","0.735390625","0.735390625","0.8890625","0.8890625","0.8890625","0.85546875","0.85546875","0.85546875"
"725","0.623203125","0.623203125","0.623203125","0.621484375","0.621484375","0.621484375","0.625078125","0.625078125","0.625078125","0.69875","0.69875","0.69875","0.88984375","0.88984375","0.88984375","0.859375","0.859375","0.859375"
"736","0.62125","0.62125","0.62125","0.623671875","0.623671875","0.623671875","0.624765625","0.624765625","0.624765625","0.723359375","0.723359375","0.723359375","0.889453125","0.889453125","0.889453125","0.8603125","0.8603125","0.8603125"
"747","0.6246875","0.6246875","0.6246875","0.625859375","0.625859375","0.625859375","0.62453125","0.62453125","0.62453125","0.73109375","0.73109375","0.73109375","0.8940625","0.8940625","0.8940625","0.863359375","0.863359375","0.863359375"
"758","0.619765625","0.619765625","0.619765625","0.62609375","0.62609375","0.62609375","0.620703125","0.620703125","0.620703125","0.732265625","0.732265625","0.732265625","0.894453125","0.894453125","0.894453125","0.863203125","0.863203125","0.863203125"
"769","0.623984375","0.623984375","0.623984375","0.619375","0.619375","0.619375","0.62265625","0.62265625","0.62265625","0.736484375","0.736484375","0.736484375","0.89375","0.89375","0.89375","0.85671875","0.85671875","0.85671875"
"780","0.624453125","0.624453125","0.624453125","0.6203125","0.6203125","0.6203125","0.61921875","0.61921875","0.61921875","0.733984375","0.733984375","0.733984375","0.88921875","0.88921875","0.88921875","0.860078125","0.860078125","0.860078125"
"791","0.61921875","0.61921875","0.61921875","0.62453125","0.62453125","0.62453125","0.625625","0.625625","0.625625","0.739140625","0.739140625","0.739140625","0.895546875","0.895546875","0.895546875","0.865546875","0.865546875","0.865546875"
"802","0.61984375","0.61984375","0.61984375","0.62234375","0.62234375","0.62234375","0.61859375","0.61859375","0.61859375","0.715234375","0.715234375","0.715234375","0.898359375","0.898359375","0.898359375","0.865","0.865","0.865"
"813","0.618359375","0.618359375","0.618359375","0.62421875","0.62421875","0.62421875","0.624609375","0.624609375","0.624609375","0.738671875","0.738671875","0.738671875","0.89328125","0.89328125","0.89328125","0.866875","0.866875","0.866875"
"824","0.623671875","0.623671875","0.623671875","0.62640625","0.62640625","0.62640625","0.621875","0.621875","0.621875","0.7471875","0.7471875","0.7471875","0.89390625","0.89390625","0.89390625","0.869765625","0.869765625","0.869765625"
"835","0.625703125","0.625703125","0.625703125","0.6228125","0.6228125","0.6228125","0.622734375","0.622734375","0.622734375","0.733046875","0.733046875","0.733046875","0.895078125","0.895078125","0.895078125","0.8690625","0.8690625","0.8690625"
"846","0.6278125","0.6278125","0.6278125","0.623359375","0.623359375","0.623359375","0.6234375","0.6234375","0.6234375","0.751015625","0.751015625","0.751015625","0.897421875","0.897421875","0.897421875","0.8678125","0.8678125","0.8678125"
"857","0.6203125","0.6203125","0.6203125","0.61984375","0.61984375","0.61984375","0.62265625","0.62265625","0.62265625","0.746953125","0.746953125","0.746953125","0.898359375","0.898359375","0.898359375","0.859765625","0.859765625","0.859765625"
"868","0.621796875","0.621796875","0.621796875","0.621015625","0.621015625","0.621015625","0.62328125","0.62328125","0.62328125","0.736328125","0.736328125","0.736328125","0.895390625","0.895390625","0.895390625","0.86390625","0.86390625","0.86390625"
"879","0.6175","0.6175","0.6175","0.62203125","0.62203125","0.62203125","0.6271875","0.6271875","0.6271875","0.74828125","0.74828125","0.74828125","0.89703125","0.89703125","0.89703125","0.868984375","0.868984375","0.868984375"
"890","0.6209375","0.6209375","0.6209375","0.6225","0.6225","0.6225","0.6240625","0.6240625","0.6240625","0.72546875","0.72546875","0.72546875","0.90015625","0.90015625","0.90015625","0.870703125","0.870703125","0.870703125"
"901","0.621953125","0.621953125","0.621953125","0.625078125","0.625078125","0.625078125","0.6225","0.6225","0.6225","0.746328125","0.746328125","0.746328125","0.90421875","0.90421875","0.90421875","0.872734375","0.872734375","0.872734375"
"912","0.624296875","0.624296875","0.624296875","0.624609375","0.624609375","0.624609375","0.619296875","0.619296875","0.619296875","0.71734375","0.71734375","0.71734375","0.8984375","0.8984375","0.8984375","0.86484375","0.86484375","0.86484375"
"923","0.622890625","0.622890625","0.622890625","0.621171875","0.621171875","0.621171875","0.62234375","0.62234375","0.62234375","0.754453125","0.754453125","0.754453125","0.91046875","0.91046875","0.91046875","0.868671875","0.868671875","0.868671875"
"934","0.6228125","0.6228125","0.6228125","0.621796875","0.621796875","0.621796875","0.621640625","0.621640625","0.621640625","0.7478125","0.7478125","0.7478125","0.902421875","0.902421875","0.902421875","0.86265625","0.86265625","0.86265625"
"945","0.623671875","0.623671875","0.623671875","0.626640625","0.626640625","0.626640625","0.620859375","0.620859375","0.620859375","0.747421875","0.747421875","0.747421875","0.91328125","0.91328125","0.91328125","0.869296875","0.869296875","0.869296875"
"956","0.62140625","0.62140625","0.62140625","0.623203125","0.623203125","0.623203125","0.621875","0.621875","0.621875","0.748984375","0.748984375","0.748984375","0.911796875","0.911796875","0.911796875","0.863828125","0.863828125","0.863828125"
"967","0.617890625","0.617890625","0.617890625","0.62203125","0.62203125","0.62203125","0.6209375","0.6209375","0.6209375","0.750859375","0.750859375","0.750859375","0.9140625","0.9140625","0.9140625","0.85875","0.85875","0.85875"
"978","0.625234375","0.625234375","0.625234375","0.6228125","0.6228125","0.6228125","0.6225","0.6225","0.6225","0.7584375","0.7584375","0.7584375","0.898046875","0.898046875","0.898046875","0.854296875","0.854296875","0.854296875"
