"Step","stateleaky - ppl","stateleaky - ppl__MIN","stateleaky - ppl__MAX","leaky - ppl","leaky - ppl__MIN","leaky - ppl__MAX"
"66","","","","396.9539004188393","396.9539004188393","396.9539004188393"
"67","","","","424.54433770586905","424.54433770586905","424.54433770586905"
"68","","","","402.7250893767697","402.7250893767697","402.7250893767697"
"69","","","","379.6373377711254","379.6373377711254","379.6373377711254"
"70","","","","405.1225887615237","405.1225887615237","405.1225887615237"
"71","","","","392.52787071259706","392.52787071259706","392.52787071259706"
"72","382.58065530370254","382.58065530370254","382.58065530370254","400.12075758962294","400.12075758962294","400.12075758962294"
"73","","","","385.2775945710405","385.2775945710405","385.2775945710405"
"74","","","","393.13857523515463","393.13857523515463","393.13857523515463"
"75","","","","365.9124303779843","365.9124303779843","365.9124303779843"
"76","","","","380.74769264113297","380.74769264113297","380.74769264113297"
"77","","","","402.77309293724204","402.77309293724204","402.77309293724204"
"79","","","","392.9159603490631","392.9159603490631","392.9159603490631"
"81","","","","419.78315316090425","419.78315316090425","419.78315316090425"
"82","","","","376.1916933588842","376.1916933588842","376.1916933588842"
"83","","","","371.2372081378489","371.2372081378489","371.2372081378489"
"84","","","","389.5834912369366","389.5834912369366","389.5834912369366"
"85","","","","386.494768066746","386.494768066746","386.494768066746"
"86","","","","406.18004787601456","406.18004787601456","406.18004787601456"
"87","","","","383.9647111630231","383.9647111630231","383.9647111630231"
"88","","","","401.53509382755436","401.53509382755436","401.53509382755436"
"89","","","","392.2384328556028","392.2384328556028","392.2384328556028"
"90","","","","372.2236730816944","372.2236730816944","372.2236730816944"
"91","","","","393.6803271703775","393.6803271703775","393.6803271703775"
"93","","","","394.4956490324449","394.4956490324449","394.4956490324449"
"94","","","","365.4166323998568","365.4166323998568","365.4166323998568"
"95","","","","396.799921106998","396.799921106998","396.799921106998"
"96","","","","380.45157852342027","380.45157852342027","380.45157852342027"
"97","","","","362.61630691556036","362.61630691556036","362.61630691556036"
"98","","","","405.7516508711682","405.7516508711682","405.7516508711682"
"99","","","","380.24475365317363","380.24475365317363","380.24475365317363"
