"Step","multi-beta-learn - loss","multi-beta-learn - loss__MIN","multi-beta-learn - loss__MAX","single-beta-no-learn-beta - loss","single-beta-no-learn-beta - loss__MIN","single-beta-no-learn-beta - loss__MAX","single-beta-learn-beta - loss","single-beta-learn-beta - loss__MIN","single-beta-learn-beta - loss__MAX"
"258","5.733623411435725","5.733623411435725","5.733623411435725","5.810564914799055","5.810564914799055","5.810564914799055","5.750534418061024","5.750534418061024","5.750534418061024"
"265","5.79581234180296","5.79581234180296","5.79581234180296","5.750215135909878","5.750215135909878","5.750215135909878","5.768876040177461","5.768876040177461","5.768876040177461"
"277","5.643894390440491","5.643894390440491","5.643894390440491","5.788344567452143","5.788344567452143","5.788344567452143","5.805055763706695","5.805055763706695","5.805055763706695"
"280","5.689668843463906","5.689668843463906","5.689668843463906","5.800334776741715","5.800334776741715","5.800334776741715","5.753852859286397","5.753852859286397","5.753852859286397"
"291","5.716407614554996","5.716407614554996","5.716407614554996","5.741535027073787","5.741535027073787","5.741535027073787","5.7524948703375465","5.7524948703375465","5.7524948703375465"
"300","5.7181540448985215","5.7181540448985215","5.7181540448985215","5.760605176878783","5.760605176878783","5.760605176878783","5.716048301865649","5.716048301865649","5.716048301865649"
"304","5.727149534084249","5.727149534084249","5.727149534084249","5.852968728019101","5.852968728019101","5.852968728019101","5.731160532092505","5.731160532092505","5.731160532092505"
"317","5.795884062014752","5.795884062014752","5.795884062014752","5.739415185376743","5.739415185376743","5.739415185376743","5.800263131679654","5.800263131679654","5.800263131679654"
"336","5.7099094565942075","5.7099094565942075","5.7099094565942075","5.759065131528121","5.759065131528121","5.759065131528121","5.705078186050419","5.705078186050419","5.705078186050419"
"352","5.65084045699134","5.65084045699134","5.65084045699134","5.748739419260821","5.748739419260821","5.748739419260821","5.701788388032546","5.701788388032546","5.701788388032546"
"388","5.68044473242572","5.68044473242572","5.68044473242572","5.685085154997225","5.685085154997225","5.685085154997225","5.76612213281539","5.76612213281539","5.76612213281539"
"424","5.61362913837583","5.61362913837583","5.61362913837583","5.699296906238466","5.699296906238466","5.699296906238466","5.693513807569914","5.693513807569914","5.693513807569914"
"429","5.650019536067773","5.650019536067773","5.650019536067773","5.6876117089867915","5.6876117089867915","5.6876117089867915","5.699585645443925","5.699585645443925","5.699585645443925"
"476","5.650557759716778","5.650557759716778","5.650557759716778","5.657288021511501","5.657288021511501","5.657288021511501","5.677911446690263","5.677911446690263","5.677911446690263"
"514","5.650502772488282","5.650502772488282","5.650502772488282","5.697466837490002","5.697466837490002","5.697466837490002","5.628215497443077","5.628215497443077","5.628215497443077"
"533","5.665398208032519","5.665398208032519","5.665398208032519","5.801103137788319","5.801103137788319","5.801103137788319","5.701587140538034","5.701587140538034","5.701587140538034"
"585","5.5561006519476885","5.5561006519476885","5.5561006519476885","5.708123037890091","5.708123037890091","5.708123037890091","5.766592551612429","5.766592551612429","5.766592551612429"
"612","5.568287967955377","5.568287967955377","5.568287967955377","5.746172266682302","5.746172266682302","5.746172266682302","5.542859085451869","5.542859085451869","5.542859085451869"
"645","5.577064127765795","5.577064127765795","5.577064127765795","5.652639559792109","5.652639559792109","5.652639559792109","5.595159852500309","5.595159852500309","5.595159852500309"
"651","5.637863631372519","5.637863631372519","5.637863631372519","5.688714962194462","5.688714962194462","5.688714962194462","5.599040292001808","5.599040292001808","5.599040292001808"
"751","5.568954000265319","5.568954000265319","5.568954000265319","5.6346192865984674","5.6346192865984674","5.6346192865984674","5.592211582103677","5.592211582103677","5.592211582103677"
"762","5.466836771591891","5.466836771591891","5.466836771591891","5.619156993656451","5.619156993656451","5.619156993656451","5.563812981029549","5.563812981029549","5.563812981029549"
"788","5.586865270696442","5.586865270696442","5.586865270696442","5.655004119967272","5.655004119967272","5.655004119967272","5.577839413024666","5.577839413024666","5.577839413024666"
"801","5.506075394086112","5.506075394086112","5.506075394086112","","","","5.646355477892492","5.646355477892492","5.646355477892492"
"806","5.617568909175812","5.617568909175812","5.617568909175812","5.558117499572237","5.558117499572237","5.558117499572237","5.5726325915101205","5.5726325915101205","5.5726325915101205"
"812","5.543416793314552","5.543416793314552","5.543416793314552","5.632650340396979","5.632650340396979","5.632650340396979","5.598841269185224","5.598841269185224","5.598841269185224"
"839","5.553127154537989","5.553127154537989","5.553127154537989","","","","","",""
"921","5.471848397173685","5.471848397173685","5.471848397173685","5.518568195093458","5.518568195093458","5.518568195093458","5.546657597581492","5.546657597581492","5.546657597581492"
