"Step","gen2-spiking - ppl","gen2-spiking - ppl__MIN","gen2-spiking - ppl__MAX","stateleaky-tuned - ppl","stateleaky-tuned - ppl__MIN","stateleaky-tuned - ppl__MAX"
"2028","22.644933733316748","22.644933733316748","22.644933733316748","238.28197834219225","238.28197834219225","238.28197834219225"
"2034","23.311687044857855","23.311687044857855","23.311687044857855","222.41997609343954","222.41997609343954","222.41997609343954"
"2152","21.918310096342637","21.918310096342637","21.918310096342637","227.36218142593563","227.36218142593563","227.36218142593563"
"2283","","","","216.79636173076494","216.79636173076494","216.79636173076494"
"2302","23.147449449157847","23.147449449157847","23.147449449157847","224.38960613109893","224.38960613109893","224.38960613109893"
"2352","22.69282486543653","22.69282486543653","22.69282486543653","225.48794051463767","225.48794051463767","225.48794051463767"
"2662","21.157123507761735","21.157123507761735","21.157123507761735","236.23150119719338","236.23150119719338","236.23150119719338"
"2911","19.412958896888828","19.412958896888828","19.412958896888828","206.4982677295581","206.4982677295581","206.4982677295581"
"2958","","","","179.83063332137405","179.83063332137405","179.83063332137405"
"3073","20.991318077652995","20.991318077652995","20.991318077652995","213.81457387831054","213.81457387831054","213.81457387831054"
"3163","","","","203.82519031102967","203.82519031102967","203.82519031102967"
"3167","","","","216.49921942389923","216.49921942389923","216.49921942389923"
"3273","19.374298684815557","19.374298684815557","19.374298684815557","192.2288279623314","192.2288279623314","192.2288279623314"
"3341","","","","216.3858884144612","216.3858884144612","216.3858884144612"
"3563","","","","194.83327337237026","194.83327337237026","194.83327337237026"
"3595","19.840357259859164","19.840357259859164","19.840357259859164","198.19751232521958","198.19751232521958","198.19751232521958"
"3610","18.6381679664123","18.6381679664123","18.6381679664123","185.64184783393716","185.64184783393716","185.64184783393716"
"3803","19.562354279913485","19.562354279913485","19.562354279913485","184.62038668851477","184.62038668851477","184.62038668851477"
"3887","20.213765315833978","20.213765315833978","20.213765315833978","186.63124159346998","186.63124159346998","186.63124159346998"
"3921","18.923876590415496","18.923876590415496","18.923876590415496","192.94000985239686","192.94000985239686","192.94000985239686"
"4162","","","","165.1797516218683","165.1797516218683","165.1797516218683"
"4163","18.01599191753483","18.01599191753483","18.01599191753483","184.1123478759502","184.1123478759502","184.1123478759502"
"4420","19.149735751075944","19.149735751075944","19.149735751075944","181.16770310632486","181.16770310632486","181.16770310632486"
"4425","17.236906364893834","17.236906364893834","17.236906364893834","173.6365406989818","173.6365406989818","173.6365406989818"
"4487","","","","166.93943665699015","166.93943665699015","166.93943665699015"
"4648","19.057150190998616","19.057150190998616","19.057150190998616","158.5323088359294","158.5323088359294","158.5323088359294"
"4672","17.578289969066983","17.578289969066983","17.578289969066983","159.15901465450045","159.15901465450045","159.15901465450045"
"4890","17.20353759010712","17.20353759010712","17.20353759010712","166.39385454373533","166.39385454373533","166.39385454373533"
"4935","","","","147.79123169708635","147.79123169708635","147.79123169708635"
"5035","16.100862564968203","16.100862564968203","16.100862564968203","157.57734521971966","157.57734521971966","157.57734521971966"
"5038","","","","163.90899583886386","163.90899583886386","163.90899583886386"
"5041","15.498166668812576","15.498166668812576","15.498166668812576","176.61975730395517","176.61975730395517","176.61975730395517"
"5076","18.315884617198662","18.315884617198662","18.315884617198662","171.323798658212","171.323798658212","171.323798658212"
"5140","","","","156.53141674638803","156.53141674638803","156.53141674638803"
"5218","","","","166.88781628595825","166.88781628595825","166.88781628595825"
"5294","15.92921359519083","15.92921359519083","15.92921359519083","150.1470501010599","150.1470501010599","150.1470501010599"
"5348","17.40690431043177","17.40690431043177","17.40690431043177","160.19645516008617","160.19645516008617","160.19645516008617"
"5369","15.780178232168156","15.780178232168156","15.780178232168156","164.1623629925915","164.1623629925915","164.1623629925915"
"5388","","","","166.55045119490507","166.55045119490507","166.55045119490507"
"5438","15.246166904888037","15.246166904888037","15.246166904888037","143.96341166302003","143.96341166302003","143.96341166302003"
"5483","17.39409749970326","17.39409749970326","17.39409749970326","158.42140149383576","158.42140149383576","158.42140149383576"
"5570","16.97214339950306","16.97214339950306","16.97214339950306","163.1253871823817","163.1253871823817","163.1253871823817"
"5604","","","","153.32765070425168","153.32765070425168","153.32765070425168"
"5714","15.540109583040026","15.540109583040026","15.540109583040026","166.09721851098598","166.09721851098598","166.09721851098598"
"5769","16.35204800014686","16.35204800014686","16.35204800014686","155.3160965239421","155.3160965239421","155.3160965239421"
"5937","16.426375818529813","16.426375818529813","16.426375818529813","152.6503801052623","152.6503801052623","152.6503801052623"
